timestamp,scenario,client,attempt,target,port,status,elapsed_ms,error,response_file
2026-06-05T17:22:03+02:00,baseline,pc_a,1,10.0.20.10,9000,OK,77.10,,results/responses_baseline_20260605_172203/pc_a_attempt_1.txt
2026-06-05T17:22:04+02:00,baseline,pc_a,2,10.0.20.10,9000,OK,81.88,,results/responses_baseline_20260605_172203/pc_a_attempt_2.txt
2026-06-05T17:22:05+02:00,baseline,pc_a,3,10.0.20.10,9000,OK,86.85,,results/responses_baseline_20260605_172203/pc_a_attempt_3.txt
2026-06-05T17:22:06+02:00,baseline,pc_a,4,10.0.20.10,9000,OK,79.03,,results/responses_baseline_20260605_172203/pc_a_attempt_4.txt
2026-06-05T17:22:07+02:00,baseline,pc_a,5,10.0.20.10,9000,OK,87.72,,results/responses_baseline_20260605_172203/pc_a_attempt_5.txt
2026-06-05T17:22:09+02:00,baseline,pc_a,6,10.0.20.10,9000,OK,93.34,,results/responses_baseline_20260605_172203/pc_a_attempt_6.txt
2026-06-05T17:22:10+02:00,baseline,pc_a,7,10.0.20.10,9000,OK,96.40,,results/responses_baseline_20260605_172203/pc_a_attempt_7.txt
2026-06-05T17:22:11+02:00,baseline,pc_a,8,10.0.20.10,9000,OK,69.07,,results/responses_baseline_20260605_172203/pc_a_attempt_8.txt
2026-06-05T17:22:12+02:00,baseline,pc_a,9,10.0.20.10,9000,OK,80.71,,results/responses_baseline_20260605_172203/pc_a_attempt_9.txt
2026-06-05T17:22:13+02:00,baseline,pc_a,10,10.0.20.10,9000,OK,76.88,,results/responses_baseline_20260605_172203/pc_a_attempt_10.txt
2026-06-05T17:22:13+02:00,baseline,pc_b,1,10.0.20.10,9000,OK,76.63,,results/responses_baseline_20260605_172203/pc_b_attempt_1.txt
2026-06-05T17:22:14+02:00,baseline,pc_b,2,10.0.20.10,9000,OK,74.80,,results/responses_baseline_20260605_172203/pc_b_attempt_2.txt
2026-06-05T17:22:15+02:00,baseline,pc_b,3,10.0.20.10,9000,OK,86.39,,results/responses_baseline_20260605_172203/pc_b_attempt_3.txt
2026-06-05T17:22:16+02:00,baseline,pc_b,4,10.0.20.10,9000,OK,78.92,,results/responses_baseline_20260605_172203/pc_b_attempt_4.txt
2026-06-05T17:22:17+02:00,baseline,pc_b,5,10.0.20.10,9000,OK,81.15,,results/responses_baseline_20260605_172203/pc_b_attempt_5.txt
2026-06-05T17:22:18+02:00,baseline,pc_b,6,10.0.20.10,9000,OK,68.87,,results/responses_baseline_20260605_172203/pc_b_attempt_6.txt
2026-06-05T17:22:19+02:00,baseline,pc_b,7,10.0.20.10,9000,OK,86.48,,results/responses_baseline_20260605_172203/pc_b_attempt_7.txt
2026-06-05T17:22:20+02:00,baseline,pc_b,8,10.0.20.10,9000,OK,88.10,,results/responses_baseline_20260605_172203/pc_b_attempt_8.txt
2026-06-05T17:22:22+02:00,baseline,pc_b,9,10.0.20.10,9000,OK,84.99,,results/responses_baseline_20260605_172203/pc_b_attempt_9.txt
2026-06-05T17:22:23+02:00,baseline,pc_b,10,10.0.20.10,9000,OK,75.86,,results/responses_baseline_20260605_172203/pc_b_attempt_10.txt
2026-06-05T17:22:23+02:00,baseline,pc_c,1,10.0.20.10,9000,OK,75.92,,results/responses_baseline_20260605_172203/pc_c_attempt_1.txt
2026-06-05T17:22:24+02:00,baseline,pc_c,2,10.0.20.10,9000,OK,76.91,,results/responses_baseline_20260605_172203/pc_c_attempt_2.txt
2026-06-05T17:22:25+02:00,baseline,pc_c,3,10.0.20.10,9000,OK,86.18,,results/responses_baseline_20260605_172203/pc_c_attempt_3.txt
2026-06-05T17:22:26+02:00,baseline,pc_c,4,10.0.20.10,9000,OK,82.33,,results/responses_baseline_20260605_172203/pc_c_attempt_4.txt
2026-06-05T17:22:27+02:00,baseline,pc_c,5,10.0.20.10,9000,OK,81.81,,results/responses_baseline_20260605_172203/pc_c_attempt_5.txt
2026-06-05T17:22:28+02:00,baseline,pc_c,6,10.0.20.10,9000,OK,74.18,,results/responses_baseline_20260605_172203/pc_c_attempt_6.txt
2026-06-05T17:22:29+02:00,baseline,pc_c,7,10.0.20.10,9000,OK,81.81,,results/responses_baseline_20260605_172203/pc_c_attempt_7.txt
2026-06-05T17:22:30+02:00,baseline,pc_c,8,10.0.20.10,9000,OK,83.04,,results/responses_baseline_20260605_172203/pc_c_attempt_8.txt
2026-06-05T17:22:31+02:00,baseline,pc_c,9,10.0.20.10,9000,OK,86.71,,results/responses_baseline_20260605_172203/pc_c_attempt_9.txt
